2014-02-22 17:30:13 Connection error, sleeping 1s...
2014-02-22 21:31:31 Connection error, sleeping 1s...
2014-02-22 21:31:32 Connection error, sleeping 1s...
2014-02-22 21:31:33 Connection error, sleeping 1s...
2014-02-22 21:31:34 Connection error, sleeping 1s...
2014-02-22 21:31:35 Connection error, sleeping 1s...
2014-02-22 21:31:36 Connection error, sleeping 1s...
2014-02-22 21:31:38 Connection error, sleeping 1s...
2014-02-22 21:31:39 Connection error, sleeping 1s...
2014-02-22 21:31:40 Connection error, sleeping 1s...
2014-02-22 21:31:41 Connection error, sleeping 1s...
2014-02-22 21:31:42 Connection error, sleeping 1s...
2014-02-22 21:31:43 Connection error, sleeping 1s...
2014-02-22 21:31:44 Connection error, sleeping 1s...
2014-02-22 21:31:45 Connection error, sleeping 1s...
2014-02-22 21:31:46 Connection error, sleeping 1s...
2014-02-22 21:31:47 Connection error, sleeping 1s...
2014-02-22 21:31:48 Connection error, sleeping 1s...
2014-02-22 21:31:49 Connection error, sleeping 1s...
2014-02-22 21:31:50 Connection error, sleeping 1s...
2014-02-22 21:31:51 Connection error, sleeping 1s...
2014-02-22 21:31:52 Connection error, sleeping 1s...
2014-02-22 21:31:54 Connection error, sleeping 1s...
2014-02-22 21:31:55 Connection error, sleeping 1s...
2014-02-22 21:31:56 Connection error, sleeping 1s...
2014-02-22 21:31:57 Connection error, sleeping 1s...
2014-02-22 21:31:58 Connection error, sleeping 1s...
2014-02-22 21:31:59 Connection error, sleeping 1s...
2014-02-22 21:32:00 Connection error, sleeping 1s...
2014-02-22 21:32:01 Connection error, sleeping 1s...
2014-02-22 21:32:02 Connection error, sleeping 1s...
2014-02-22 21:39:49 Connection error, sleeping 1s...
2014-02-22 21:39:50 Connection error, sleeping 1s...
2014-02-22 21:42:55 Connection error, sleeping 1s...
2014-02-22 21:42:56 Connection error, sleeping 1s...
2014-02-22 21:44:00 Connection error, sleeping 1s...
2014-02-22 21:44:01 Connection error, sleeping 1s...
2014-02-22 21:44:22 Connection error, sleeping 1s...
2014-02-22 21:44:24 Connection error, sleeping 1s...
2014-02-22 21:53:38 Connection error, sleeping 1s...
2014-02-22 21:53:39 Connection error, sleeping 1s...
2014-02-22 21:54:55 Connection error, sleeping 1s...
2014-02-22 21:54:56 Connection error, sleeping 1s...
2014-02-22 21:55:20 Connection error, sleeping 1s...
2014-02-22 21:55:21 Connection error, sleeping 1s...
2014-02-22 21:55:22 Connection error, sleeping 1s...
2014-02-22 21:55:23 Connection error, sleeping 1s...
2014-02-22 21:55:24 Connection error, sleeping 1s...
2014-02-22 21:55:25 Connection error, sleeping 1s...
2014-02-22 21:55:26 Connection error, sleeping 1s...
2014-02-22 21:55:28 Connection error, sleeping 1s...
2014-02-22 21:55:29 Connection error, sleeping 1s...
2014-02-22 21:55:30 Connection error, sleeping 1s...
2014-02-22 21:55:31 Connection error, sleeping 1s...
2014-02-22 21:55:32 Connection error, sleeping 1s...
2014-02-22 21:55:33 Connection error, sleeping 1s...
2014-02-22 21:55:34 Connection error, sleeping 1s...
2014-02-22 21:55:35 Connection error, sleeping 1s...
2014-02-22 21:55:36 Connection error, sleeping 1s...
2014-02-22 21:55:37 Connection error, sleeping 1s...
2014-02-22 21:55:38 Connection error, sleeping 1s...
2014-02-22 21:55:39 Connection error, sleeping 1s...
2014-02-22 21:55:40 Connection error, sleeping 1s...
2014-02-22 21:55:41 Connection error, sleeping 1s...
2014-02-22 21:55:43 Connection error, sleeping 1s...
2014-02-22 21:55:44 Connection error, sleeping 1s...
2014-02-22 21:55:45 Connection error, sleeping 1s...
2014-02-22 21:55:46 Connection error, sleeping 1s...
2014-02-22 21:55:47 Connection error, sleeping 1s...
2014-02-22 21:55:48 Connection error, sleeping 1s...
2014-02-22 21:55:49 Connection error, sleeping 1s...
2014-02-22 21:55:50 Connection error, sleeping 1s...
2014-02-22 21:55:51 Connection error, sleeping 1s...
2014-02-22 21:55:52 Connection error, sleeping 1s...
2014-02-22 21:55:53 Connection error, sleeping 1s...
2014-02-22 21:55:54 Connection error, sleeping 1s...
2014-02-22 21:55:55 Connection error, sleeping 1s...
2014-02-22 21:55:56 Connection error, sleeping 1s...
2014-02-22 21:55:57 Connection error, sleeping 1s...
2014-02-22 21:55:59 Connection error, sleeping 1s...
2014-02-22 21:56:00 Connection error, sleeping 1s...
2014-02-22 21:56:01 Connection error, sleeping 1s...
2014-02-22 21:56:02 Connection error, sleeping 1s...
2014-02-22 21:56:03 Connection error, sleeping 1s...
2014-02-22 21:56:04 Connection error, sleeping 1s...
2014-02-22 21:56:05 Connection error, sleeping 1s...
2014-02-22 21:56:06 Connection error, sleeping 1s...
2014-02-22 21:56:07 Connection error, sleeping 1s...
2014-02-22 21:56:08 Connection error, sleeping 1s...
2014-02-22 21:56:09 Connection error, sleeping 1s...
2014-02-22 21:56:10 Connection error, sleeping 1s...
2014-02-22 21:56:11 Connection error, sleeping 1s...
2014-02-22 21:56:12 Connection error, sleeping 1s...
2014-02-22 21:56:13 Connection error, sleeping 1s...
2014-02-22 21:56:15 Connection error, sleeping 1s...
2014-02-22 21:56:16 Connection error, sleeping 1s...
2014-02-22 21:56:17 Connection error, sleeping 1s...
2014-02-22 21:56:18 Connection error, sleeping 1s...
2014-02-22 21:56:19 Connection error, sleeping 1s...
2014-02-22 21:56:20 Connection error, sleeping 1s...
2014-02-22 21:56:21 Connection error, sleeping 1s...
2014-02-22 21:56:22 Connection error, sleeping 1s...
2014-02-22 21:56:23 Connection error, sleeping 1s...
2014-02-22 21:56:24 Connection error, sleeping 1s...
2014-02-22 21:56:25 Connection error, sleeping 1s...
2014-02-22 21:56:26 Connection error, sleeping 1s...
2014-02-22 21:56:27 Connection error, sleeping 1s...
2014-02-22 21:56:28 Connection error, sleeping 1s...
2014-02-22 22:02:41 Connection error, sleeping 1s...
2014-02-22 22:02:42 Connection error, sleeping 1s...
2014-02-22 22:02:43 Connection error, sleeping 1s...
2014-02-22 22:02:44 Connection error, sleeping 1s...
2014-02-22 22:02:45 Connection error, sleeping 1s...
2014-02-22 22:02:46 Connection error, sleeping 1s...
2014-02-22 22:02:47 Connection error, sleeping 1s...
2014-02-22 22:02:48 Connection error, sleeping 1s...
2014-02-22 22:02:49 Connection error, sleeping 1s...
2014-02-22 22:02:50 Connection error, sleeping 1s...
2014-02-22 22:02:52 Connection error, sleeping 1s...
2014-02-22 22:02:53 Connection error, sleeping 1s...
2014-02-22 22:02:54 Connection error, sleeping 1s...
2014-02-22 22:02:55 Connection error, sleeping 1s...
2014-02-22 22:02:56 Connection error, sleeping 1s...
2014-02-22 22:02:57 Connection error, sleeping 1s...
2014-02-22 22:02:58 Connection error, sleeping 1s...
2014-02-22 22:02:59 Connection error, sleeping 1s...
2014-02-22 22:03:00 Connection error, sleeping 1s...
2014-02-22 22:03:01 Connection error, sleeping 1s...
2014-02-22 22:03:02 Connection error, sleeping 1s...
2014-02-22 22:03:03 Connection error, sleeping 1s...
2014-02-22 22:03:04 Connection error, sleeping 1s...
2014-02-22 22:03:06 Connection error, sleeping 1s...
2014-02-22 22:03:07 Connection error, sleeping 1s...
2014-02-22 22:03:08 Connection error, sleeping 1s...
2014-02-22 22:03:09 Connection error, sleeping 1s...
2014-02-22 22:03:10 Connection error, sleeping 1s...
2014-02-22 22:03:11 Connection error, sleeping 1s...
2014-02-22 22:03:12 Connection error, sleeping 1s...
2014-02-22 22:03:13 Connection error, sleeping 1s...
2014-02-22 22:03:14 Connection error, sleeping 1s...
2014-02-22 22:07:56 Connection error, sleeping 1s...
2014-02-22 22:07:57 Connection error, sleeping 1s...
2014-02-22 22:09:54 Connection error, sleeping 1s...
2014-02-22 22:09:55 Connection error, sleeping 1s...
2014-02-22 22:09:56 Connection error, sleeping 1s...
2014-02-22 22:09:57 Connection error, sleeping 1s...
2014-02-22 22:09:58 Connection error, sleeping 1s...
2014-02-22 22:09:59 Connection error, sleeping 1s...
2014-02-22 22:10:00 Connection error, sleeping 1s...
2014-02-22 22:10:02 Connection error, sleeping 1s...
2014-02-22 22:10:03 Connection error, sleeping 1s...
2014-02-22 22:10:04 Connection error, sleeping 1s...
2014-02-22 22:10:05 Connection error, sleeping 1s...
2014-02-22 22:10:06 Connection error, sleeping 1s...
2014-02-22 22:10:07 Connection error, sleeping 1s...
2014-02-22 22:10:08 Connection error, sleeping 1s...
